RU;98;328;TransparentCalls;0.84;281;38;59
US;27;1242;E-Voice;0.91;868;75;42
GB;16;890;TransparentCalls;0.67;245;20;32
FR;1;1260;TransparentCalls;0.84;363;92;42
BL;46;1477;E-Voice;0.96;216;51;31
AT;19;1735;TransparentCalls;0.66;269;17;46
BG;68;1200;E-Voice;0.94;45;32;59
DK;27;568;JustPhone;0.71;533;44;40
A76;1732;JustPhone;0.77;748;7;35
ES;30;1978;E-Voice;0.87;459;55;22
CH;85;394;JustPhone;0.78;541;85;28
TR;47;1031;TransparentCalls;0.78;541;49;10
PE;57;1842;JustPhone;0.91;307;63;40
NZ;78;1574;JustPhone;0.63;353;63;8
MC;5;94;E-Voice;0.85;970;61;35
